t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
0,-3.8436685,2.5396016,8.398182,1.8305964,0.783241,5.474478,1.7156402,-2.3711963,1.1791456,8.775059,-2.3986564,2.4233093,-1.1570213,-3.163235,-2.2521193,7.8653398,4.4403176,5.3376865,7.8991094,1.6715201,0.6292206,-2.0114424,-0.20852134,-1.9710592,6.8532104,5.301652,-2.3287394,3.9210389,10.661876,-0.36315337,3.4122825,1.4963683,-0.6607515,1.1472015,8.533289,-2.2801552,-0.7925052,-0.046057757,6.2190213,6.7831545
1,-4.4153056,2.2838922,9.067587,1.443119,0.88173914,5.590215,1.181043,-2.1879623,0.69654375,8.759616,-0.989715,3.5253289,-0.86268866,-2.346347,-2.8747654,6.7511144,7.483148,5.458334,6.563058,0.24221314,0.5682405,-1.5450922,0.38908944,-1.4440871,6.4734254,5.196783,-2.5826917,3.4572728,10.93427,-0.010056397,3.733871,1.7574986,-0.427199,1.3015586,8.399879,-2.3172274,0.5941941,0.3118865,6.3283615,5.549122
2,-4.850397,1.5275302,9.583394,1.3031805,0.9869481,5.688786,0.6888284,-1.9240562,0.2652484,8.7654295,0.8406748,3.7835956,-0.7720114,-1.5810312,-2.9993641,5.2514024,9.973727,5.3316965,4.2357593,-0.624273,1.0050558,-1.0433956,0.8790527,-0.7441424,6.3093085,4.832729,-2.8512065,2.8758533,11.260241,0.7148725,3.7938087,1.9405936,-0.2321734,1.5246781,8.256244,-1.8978683,1.7501131,1.1885691,6.525784,3.9870698
3,-5.0515823,0.21373643,9.788361,1.6850955,1.0478722,5.7527223,0.26998135,-1.5685004,-0.065260045,8.7412405,2.6640928,3.158994,-0.85801315,-0.86012304,-2.7784557,3.670525,11.606422,4.6258106,1.5729349,-0.7482833,1.4771061,-0.48921484,1.2869762,0.05793294,6.3303165,4.1698523,-3.1580362,2.1120083,11.611487,1.7111123,3.444299,1.999917,-0.023507796,1.8007317,8.128304,-1.2064106,2.5477915,2.3890016,6.6567316,2.00368
4,-4.707262,-1.526785,9.472542,2.7783885,0.9724201,5.7595363,-0.021428041,-1.1333308,-0.23941405,8.665223,4.066345,1.792743,-0.9065031,-0.20535152,-2.354274,2.3007114,12.387093,3.295404,-0.5773595,-0.38378382,1.8169262,0.09048546,1.6268567,0.9147315,6.460077,3.170021,-3.4685738,1.0927532,11.871822,2.8393884,2.5810504,1.9731714,0.26188773,2.136109,8.034139,-0.42499286,3.017951,3.673444,6.4204826,-0.2641453
5,-3.5225627,-3.1758788,8.4879875,4.4643536,0.74464315,5.714911,-0.12347287,-0.6615067,-0.2180147,8.568402,4.748907,0.036296517,-0.6688215,0.31741157,-1.8429703,1.3033452,12.5766,1.6933509,-1.6998016,0.048141584,2.1090965,0.6616439,1.9278132,1.7934933,6.578424,1.8339354,-3.6478848,-0.20585172,11.832541,3.9401636,1.1999516,1.9947442,0.6794505,2.5570042,7.97516,0.30581343,3.2732081,4.820685,5.5457454,-2.3512459
6,-1.6735396,-4.023003,7.022051,6.272729,0.56123406,5.657977,-0.023294404,-0.21406253,0.0010621897,8.509074,4.611495,-1.6427646,-0.07761689,0.711822,-1.3299993,0.7017983,12.477844,0.29157388,-1.8026354,0.31840348,2.4240255,1.2269996,2.2238276,2.6653702,6.529751,0.26572546,-3.4569805,-1.6533602,11.275642,4.8647957,-0.51839745,2.231061,1.2904971,3.0984352,7.927866,0.8891785,3.4255064,5.6613884,3.9965217,-3.7068217
7,0.16094117,-3.8030286,5.555088,7.760629,0.71077704,5.5670877,0.19874044,0.16471092,0.3840234,8.520046,3.7432182,-2.8665438,0.684836,1.0906484,-0.86593795,0.4457289,12.284478,-0.5954961,-1.205874,0.48555058,2.7562866,1.8074491,2.5433996,3.4884872,6.156636,-1.2846007,-2.6675918,-2.8955393,10.175838,5.5058007,-2.2065446,2.7474432,2.2039206,3.7893403,7.8251863,1.256574,3.5444152,6.102481,2.0320597,-4.125936
8,1.4046551,-2.8635092,4.4453673,8.821602,1.2723181,5.3066373,0.40934944,0.4742789,0.8859508,8.57543,2.344921,-3.4670584,1.3129623,1.5582055,-0.47261566,0.46267816,12.072749,-0.88865554,-0.3107649,0.71594834,3.0945745,2.4138477,2.9063797,4.195373,5.365786,-2.4929419,-1.2938144,-3.4880185,8.847035,5.800824,-3.4886901,3.3994055,3.557572,4.630598,7.5193086,1.361251,3.661495,6.138126,0.03797534,-3.806718
9,1.974178,-1.6978247,3.7887013,9.56465,2.036456,4.730587,0.5248118,0.7520477,1.4762529,8.593947,0.6602976,-3.4326305,1.5845239,2.104159,-0.14210403,0.679916,11.859715,-0.7037475,0.54137415,1.098373,3.4468231,3.039348,3.3144884,4.6920204,4.1890054,-3.145937,0.30582416,-3.1941423,7.7586374,5.715568,-4.2264147,3.8744097,5.3867674,5.5480375,6.7550235,1.2089767,3.798093,5.8349214,-1.679278,-3.058011
10,2.12093,-0.59623855,3.5663857,10.11067,2.6386762,3.8140593,0.58171844,1.0387129,2.1428893,8.462078,-1.052501,-2.8032794,1.5038773,2.6345663,0.17319086,1.0429654,11.650505,-0.26645765,1.1570126,1.6111084,3.8321471,3.6677551,3.7350726,4.8730025,2.7854707,-3.2542248,1.659317,-2.118174,7.1719475,5.2094173,-4.5693808,3.8682182,7.500577,6.3281775,5.2441535,0.92805475,3.9764671,5.2888613,-2.9700518,-2.1173878
11,2.1500452,0.36980322,3.7446313,10.507878,2.7182868,2.7253323,0.6972211,1.3557049,2.8743165,8.064116,-2.5404623,-1.6626611,1.3109456,3.075682,0.5388976,1.5300049,11.44867,0.17918386,1.5078053,2.1922948,4.2793255,4.278162,4.0865736,4.6574745,1.386724,-2.9809747,2.497319,-0.56647426,7.026688,4.205365,-4.7597184,3.2052593,9.486322,6.6205482,2.9223309,0.78107566,4.2044764,4.5707912,-3.8141594,-1.1570959
12,2.2679098,1.2466277,4.287901,10.700495,2.063596,1.8087542,0.9497881,1.7222015,3.6398597,7.3164988,-3.6117558,-0.21788454,1.351075,3.4236803,0.98781836,2.1437538,11.241879,0.437282,1.6824481,2.805511,4.8224874,4.832488,4.2380323,4.0453672,0.22635187,-2.5131028,2.8356442,1.1428843,7.0716596,2.6287978,-4.8828254,1.8401562,10.832637,6.17384,0.21440314,0.964315,4.4975567,3.695527,-4.2636566,-0.3259269
13,2.546455,2.1263447,5.145399,10.504045,0.7281926,1.440965,1.3292828,2.1655571,4.3838363,6.192097,-4.2096243,1.1834416,1.8668373,3.7009516,1.4936657,2.8850799,10.984604,0.39502183,1.8177267,3.4601762,5.48359,5.2463775,4.041661,3.1704206,-0.5304207,-1.9960431,2.853955,2.7762835,6.9820414,0.54495656,-4.72209,-0.096928164,11.165562,5.213498,-2.1729834,1.3455796,4.9080415,2.6439953,-4.395978,0.24618785
14,2.9465127,3.1206684,6.220869,9.616962,-0.94646776,1.7962633,1.8508891,2.6931796,5.0173144,4.7218733,-4.4138846,2.1793828,2.8560948,3.9105077,1.9914209,3.7293334,10.592836,0.036298156,2.036371,4.208346,6.2441373,5.3577814,3.4153934,2.2951138,-0.8482122,-1.5126128,2.7470863,4.194419,6.4378395,-1.6849208,-3.8601286,-2.1415875,10.516098,4.3207793,-3.8544688,1.5958941,5.432664,1.4320945,-4.2657228,0.47698727
15,3.36368,4.336699,7.3090515,7.7210264,-2.463754,2.6375108,2.6662176,3.280362,5.3952284,2.9954755,-4.3393674,2.5485358,4.0980477,4.0753355,2.421193,4.6173396,9.960165,-0.5643067,2.3925545,5.135835,7.006394,4.9281526,2.4570544,1.700451,-0.82599515,-1.0792251,2.6496422,5.3248363,5.2588024,-3.471632,-2.141561,-3.5202982,9.397425,3.766245,-4.9182878,1.5387841,5.964219,0.17203562,-3.8675928,0.37455052
16,3.6848874,5.8080688,8.0006075,4.697747,-3.3897963,3.3251185,3.9023385,3.8832695,5.3092127,1.1880078,-4.034484,2.277587,5.294208,4.301836,2.7606878,5.4559603,8.994429,-1.2746637,2.829789,6.3260093,7.5437245,3.7341597,1.5012418,1.5133268,-0.61370534,-0.67398894,2.6350303,6.13529,3.5213706,-4.397788,-0.063504025,-3.64461,8.496712,3.286415,-5.5872726,1.1676354,6.391579,-0.92922777,-3.1672325,0.069542214
17,3.8564255,7.396662,7.6674137,0.9404375,-3.4708834,3.2423139,5.3602967,4.449286,4.5602555,-0.4168702,-3.4995065,1.5589255,6.2105994,4.756172,3.0214858,6.121796,7.6610737,-1.9569616,3.1785624,7.7652855,7.4768887,1.7824852,0.9936838,1.6348293,-0.31961444,-0.27660614,2.7382693,6.614856,1.4970247,-4.4859357,1.5788081,-2.5628624,8.137926,2.458916,-5.9785237,0.47184575,6.6559596,-1.6212912,-2.193736,-0.21124329
18,3.9341125,8.777664,5.7741723,-2.4818602,-2.7574143,2.4266784,6.589245,4.917115,3.1127298,-1.4951571,-2.804909,0.7182583,6.7545033,5.5505443,3.2175827,6.474532,6.0172386,-2.5043392,3.2239482,9.240657,6.4092135,-0.4795501,1.1591263,1.9071233,-0.008330688,0.11846463,2.9687169,6.7560496,-0.5167378,-3.9892156,2.3538969,-0.8131054,8.13685,1.0166559,-6.0015297,-0.6078783,6.7134576,-1.6777872,-1.1156322,-0.2609827
19,4.053578,9.584615,2.4641283,-4.32919,-1.8599619,1.5284834,7.360587,5.137105,1.192912,-1.8299636,-2.126812,0.04407966,6.962675,6.652987,3.3275905,6.3925524,4.227248,-2.840792,2.8292215,10.395011,4.304022,-2.2898936,1.7104803,2.3203418,0.267866,0.50960547,3.3142254,6.545669,-2.2862973,-3.1068642,2.3720322,0.99332374,8.10232,-0.9650983,-5.329182,-2.0254889,6.499595,-0.9904781,-0.20844525,-0.026046159
20,4.3255973,9.581017,-1.285435,-4.039657,-1.5100317,0.8959276,7.781677,4.9033613,-0.76475656,-1.4202428,-1.6002848,-0.34757724,6.933174,7.9047976,3.2640858,5.837582,2.5465767,-2.9156253,2.035551,10.994567,1.7384986,-3.0814307,2.063044,2.896136,0.49017945,0.89208996,3.7440705,5.974682,-3.6489704,-1.969555,2.0647573,2.4751074,7.7207565,-2.9836223,-3.6243734,-3.367892,6.0158625,0.30884063,0.30769283,0.3828533
21,4.7635503,8.723936,-4.2698145,-1.9447839,-1.5595605,0.42009097,7.9857945,4.18975,-2.3231885,-0.50335175,-1.1827314,-0.47284564,6.7765822,9.092793,2.8854635,4.9368186,1.2437451,-2.7308044,1.0473131,11.115768,-0.4211458,-2.796332,1.9695692,3.5058808,0.70619315,1.2610164,4.210194,5.0599475,-4.525139,-0.76244354,1.8884262,3.5725496,6.877034,-4.3918476,-1.0272285,-3.8999438,5.4880366,1.8371799,0.41869763,0.82003075
22,5.2998424,7.161688,-5.844654,0.9127213,-1.2142298,0.1835021,8.055667,3.1533468,-3.2616858,0.5518599,-0.7265923,-0.37402195,6.6100616,10.005453,2.0886016,4.0133085,0.4660519,-2.3607197,0.108274154,11.009559,-1.5681275,-1.7753109,1.7193239,4.0093813,0.9903139,1.61693,4.648252,3.858619,-4.9344096,0.247779,2.0952086,4.4071736,5.622649,-4.9102397,1.6897496,-3.134233,5.2227893,3.172378,0.25885645,1.2137647
23,5.8403854,5.163406,-6.202578,3.3031435,-0.08063134,0.35156807,8.088447,1.9291883,-3.5937607,1.4195737,-0.13883042,-0.08752833,6.550194,10.475486,0.9339178,3.4658504,0.17013054,-1.9098899,-0.6162447,10.85761,-1.5680443,-0.5503801,1.6979179,4.3942904,1.3557681,1.9634006,4.9839067,2.4660044,-4.961326,0.82226676,2.6602297,5.0691557,4.061006,-4.7566767,3.6875415,-1.2234402,5.254451,4.0082884,-0.043633487,1.5558181
24,6.300727,2.9875805,-5.9249244,4.524293,1.626457,0.8649341,8.092398,0.593224,-3.424263,1.9240124,0.564129,0.35568127,6.6815042,10.40789,-0.3325907,3.5396264,0.22068869,-1.462808,-1.0661131,10.69592,-0.66866714,0.38028356,1.9915243,4.711495,1.7484326,2.29738,5.1467443,1.0061487,-4.6822786,0.8713423,3.3618822,5.543774,2.2898073,-4.3058987,4.6082106,1.2654505,5.3803644,4.1429977,-0.38038862,1.8492299
25,6.612971,0.8165652,-5.414031,4.5127196,3.492523,1.6400148,7.9173455,-0.76651794,-2.841044,2.0662618,1.3017548,0.9492828,7.0303617,9.772391,-1.4163902,4.184063,0.5365129,-1.0900472,-1.2566323,10.491,0.6845409,0.75719404,2.4299848,5.01365,2.1111846,2.600815,5.087583,-0.37604895,-4.125966,0.49510956,3.9378054,5.775556,0.43079582,-3.7716894,4.5503826,3.736648,5.4088297,3.5261645,-0.62417424,2.0832474
26,6.7262797,-1.2004381,-4.723143,3.557029,5.155444,2.7106488,7.3015504,-2.0396981,-1.9261538,2.0022242,1.9992541,1.7190046,7.5584273,8.568025,-2.146421,5.1101265,1.0965648,-0.87939924,-1.2563742,10.22412,2.0430455,0.5928108,2.8344977,5.3607783,2.4200845,2.8385818,4.795179,-1.5308096,-3.3059988,-0.061943818,4.2386465,5.7432337,-1.3386662,-3.1564415,3.833277,5.7636275,5.2329807,2.3210323,-0.661789,2.250832
27,6.616235,-2.893345,-3.7035968,2.1519568,6.3547363,4.0529227,5.940803,-3.1007671,-0.85013103,1.9695017,2.6363413,2.6941056,8.147498,6.7917223,-2.5182877,5.9682164,1.8360833,-0.93128014,-1.1742114,9.908981,3.1011648,0.056802418,3.1376817,5.8128395,2.6692379,2.9630787,4.3085494,-2.3399534,-2.286172,-0.5202677,4.2964864,5.475867,-2.8214333,-2.3732529,2.8752956,7.1552505,4.8045497,0.8562359,-0.4533987,2.389027
28,6.286052,-4.0955267,-2.268987,0.9393433,7.001157,5.3494506,3.679495,-3.7663708,0.055246696,2.1548243,3.259802,3.865376,8.55849,4.4573784,-2.58975,6.4982204,2.590573,-1.3012419,-1.1250373,9.56242,3.7447388,-0.64961016,3.3372867,6.4043407,2.8432446,2.9268134,3.7167788,-2.7579892,-1.199936,-0.68458194,4.2623873,5.022706,-3.880264,-1.4022963,2.115426,7.9656544,4.100321,-0.51130104,-0.060287885,2.5824897
29,5.7518563,-4.7331614,-0.5922225,0.4798263,7.2728715,6.0419884,0.7934183,-3.789954,0.42528936,2.5484736,3.9741626,5.1566334,8.399872,1.7064583,-2.3720243,6.59863,3.1427433,-1.9389218,-1.1848893,9.1783285,4.0123315,-1.3670183,3.4220827,7.1277866,2.9088807,2.7035308,3.1386168,-2.8218353,-0.19687743,-0.4962135,4.2802606,4.418374,-4.489434,-0.37066016,1.8742776,8.395424,3.0891047,-1.5153954,0.37296012,2.9035647
30,5.0414634,-4.8815336,0.94872594,0.9755352,7.4871154,5.6625443,-2.0047996,-3.036965,0.22549672,2.9525115,4.904991,6.396968,7.19483,-1.0429317,-1.8969942,6.361065,3.3271387,-2.693123,-1.377754,8.726626,4.021758,-2.0028555,3.3540246,7.9300127,2.8312001,2.3109052,2.6851976,-2.6186674,0.6262062,-0.0010149814,4.408471,3.6697128,-4.721759,0.49859464,2.2327356,8.602834,1.7429712,-1.999781,0.68146455,3.3434138
31,4.213602,-4.7176466,2.0136697,2.2497323,7.7590194,4.0445733,-3.9467974,-1.7718757,-0.112182796,3.2155406,6.0896807,7.2443104,4.655165,-3.102706,-1.4496361,6.0082707,3.131725,-3.3962483,-1.6946607,8.166729,3.9080198,-2.5247264,3.0941756,8.723863,2.6055584,1.8176165,2.4223356,-2.239378,1.2479835,0.7126568,4.6173644,2.76577,-4.687849,1.0071225,3.028316,8.58542,0.11566741,-1.8734109,0.7831256,3.811955
32,3.348174,-4.4166055,2.4652293,3.916039,7.821446,1.3879361,-4.5921707,-0.6739068,-0.1531604,3.3854501,7.3846984,7.1374407,1.1423472,-3.8059971,-1.506289,5.652712,2.7257237,-3.9457977,-2.1008909,7.462068,3.7843115,-2.9388065,2.6311305,9.41665,2.2861729,1.3186563,2.3537064,-1.7489089,1.7002811,1.555496,4.8187175,1.7024121,-4.467461,1.0687755,3.9542334,8.239677,-1.5745513,-1.1159602,0.7830863,4.2189374
33,2.4838338,-4.0847216,2.357395,5.5308204,7.207017,-1.6569749,-3.9310262,-0.26494825,0.088235505,3.5930755,8.52113,5.5742,-2.1525831,-3.002625,-2.068628,5.248866,2.3503075,-4.320324,-2.520462,6.5964456,3.716724,-3.2669916,1.9892336,9.940283,1.9850518,0.8864863,2.4357498,-1.1820617,2.0366085,2.4496324,4.893406,0.5150663,-4.0711784,0.731793,4.70424,7.5337644,-2.9900343,0.12408612,0.97406644,4.5438485
34,1.5713956,-3.7450778,1.8429565,6.735734,5.690333,-4.1652884,-2.3678143,-0.34752464,0.3762266,3.9148388,9.213817,2.6588373,-3.9475548,-1.464181,-2.4702754,4.883916,2.099068,-4.557113,-2.8492987,5.590884,3.7151592,-3.5302505,1.2180243,10.260774,1.8318522,0.5326273,2.611372,-0.55249864,2.3132553,3.3251352,4.7180386,-0.69290507,-3.4594636,0.16100956,5.109133,6.6067553,-3.8789952,1.4900825,1.6494292,4.781003
35,0.5262472,-3.3414433,1.0973462,7.3964896,3.5690773,-5.5300636,-0.6625178,-0.32509166,0.64810896,4.35511,9.2307625,-0.7802213,-3.8361301,-0.338804,-2.3179963,4.7001467,1.8750272,-4.693862,-3.0107617,4.5060654,3.7534096,-3.74151,0.3770665,10.36313,1.9175673,0.20911342,2.8361816,0.14093617,2.581904,4.112418,4.2011375,-1.754274,-2.6188383,-0.4087625,5.1931,5.6761584,-4.228895,2.584827,2.8646052,4.8167763
36,-0.6317397,-2.7757986,0.2993349,7.621595,1.4220332,-5.7871847,0.489987,0.07774942,0.9714017,4.8865814,8.455882,-3.719404,-2.245613,0.052959282,-1.854182,4.6728787,1.5752717,-4.724456,-2.9859858,3.427653,3.8039038,-3.9079647,-0.47199395,10.230902,2.2568352,-0.15275207,3.0849547,0.9144457,2.885164,4.734648,3.3239615,-2.493922,-1.6393778,-0.7562018,5.112879,4.8760448,-4.205762,3.1879542,4.3880534,4.433461
37,-1.6822476,-2.017546,-0.35726655,7.639436,-0.31773943,-5.285774,0.8916485,0.7111371,1.3985542,5.456761,6.9357677,-5.539418,-0.0043914514,0.28869554,-1.3316429,4.7383842,1.1801751,-4.617096,-2.8015695,2.444673,3.8571908,-4.0371065,-1.2659072,9.841639,2.7874262,-0.5920543,3.344892,1.7988852,3.248831,5.1011224,2.1639647,-2.8051994,-0.70565414,-0.7657349,5.0345993,4.207083,-4.0057955,3.300244,5.8620768,3.4790044
38,-2.304515,-1.1982895,-0.7032229,7.642331,-1.501221,-4.3195724,0.7752623,1.3397796,1.9678702,5.973042,4.849118,-6.246107,1.9389515,0.9232129,-0.7771747,4.8753376,0.70702934,-4.346855,-2.5095994,1.6275611,3.919937,-4.1392183,-1.9396569,9.182691,3.4034994,-1.0849333,3.60342,2.830474,3.6663892,5.1063128,0.88601387,-2.6869183,0.011783501,-0.46103218,5.0470586,3.5941586,-3.768685,3.0428646,7.0075145,2.043775
39,-2.301815,-0.5234387,-0.6890626,7.696137,-2.1536305,-3.07636,0.503914,1.8526653,2.696506,6.2936563,2.4207387,-6.2034135,2.9113686,1.9835837,-0.18220787,5.04708,0.17769101,-3.903061,-2.1700945,1.0137135,4.0030804,-4.224094,-2.4305243,8.274855,4.002695,-1.5473999,3.8354337,4.028312,4.0734463,4.6484804,-0.2916996,-2.2323596,0.46388328,0.04703194,5.1569524,2.95325,-3.558533,2.5486195,7.7312193,0.46966195
40,-1.7115514,-0.069943994,-0.39911416,7.765119,-2.3497326,-1.7197331,0.36443982,2.264222,3.548414,6.2264442,-0.10379698,-5.6984015,2.748696,3.1492014,0.4947392,5.1670284,-0.37776875,-3.2878146,-1.8308845,0.6072003,4.1112614,-4.2949886,-2.686568,7.186783,4.520139,-1.8730296,4.002041,5.3613887,4.322367,3.6876912,-1.1483701,-1.6046116,0.7316938,0.6470709,5.326634,2.2255757,-3.3725061,1.9118875,8.102041,-0.82010895
41,-0.7549047,0.2645292,0.054156534,7.7973695,-2.1762848,-0.4217616,0.49413615,2.6436164,4.428436,5.5723066,-2.4000843,-4.795344,1.7443098,4.0776834,1.3745278,5.107477,-0.9321632,-2.5190175,-1.512429,0.39026827,4.2387223,-4.344194,-2.6773417,6.031471,4.934241,-1.9806162,4.071777,6.722546,4.1939993,2.3399382,-1.5316991,-0.9906417,0.9413175,1.279192,5.500167,1.3885803,-3.156268,1.1925576,8.254603,-1.508165
42,0.26464567,0.6225964,0.61195505,7.768833,-1.7467529,0.6749364,0.8958932,3.0586417,5.193655,4.2330933,-4.0742226,-3.5503922,0.49041584,4.599456,2.518797,4.717949,-1.4639487,-1.6375853,-1.2045919,0.3375898,4.3709383,-4.353423,-2.4043493,4.947066,5.252411,-1.8421987,4.051558,7.940247,3.4937503,0.9339171,-1.4387559,-0.5098559,1.174515,1.9308418,5.6089034,0.4605315,-2.8234093,0.44864374,8.300934,-1.468193
43,1.0660788,1.0532211,1.2569358,7.675598,-1.2015691,1.5043125,1.5020099,3.5506706,5.6665134,2.3249881,-4.8381515,-2.2531652,-0.43829882,4.7593594,3.7861655,3.8879058,-1.9178553,-0.72287315,-0.87248063,0.4255509,4.4882574,-4.300005,-1.9076579,4.068504,5.4946547,-1.4817342,3.9959643,8.839308,2.2092452,-0.082398176,-1.0433829,-0.15018673,1.4525063,2.605449,5.5745115,-0.49570516,-2.286864,-0.2253634,8.292502,-0.76415217
44,1.4780296,1.5078192,1.9785962,7.517208,-0.6786073,2.0834615,2.2406554,4.1203265,5.6584034,0.19047816,-4.673764,-1.2977958,-0.83584875,4.7146235,4.909961,2.632371,-2.1808295,0.101376295,-0.47535822,0.63393533,4.568753,-4.1670165,-1.2633457,3.4972699,5.6836467,-0.9561143,3.9810326,9.309738,0.590032,-0.36802453,-0.58457625,0.17318717,1.7744541,3.296398,5.320247,-1.3792504,-1.5082451,-0.68217504,8.237567,0.38510954
45,1.4727697,1.9228718,2.7673798,7.287816,-0.28212586,2.481592,3.0687146,4.7065797,5.020155,-1.7181088,-3.811048,-0.8256658,-0.85331196,4.6061735,5.685343,1.1131941,-2.1326132,0.71301484,0.0010182319,0.94316775,4.589871,-3.952701,-0.5683597,3.2790008,5.840096,-0.33482498,4.0631905,9.33013,-0.9587202,0.13896021,-0.16666427,0.51601326,2.1457074,3.9762733,4.7892222,-2.0800855,-0.54728884,-0.75765306,8.149517,1.6619132
