t,x0,x1,x2,x3,x4,x5
0,0.7651154,0.800073,1.7365459,0.8725118,1.3692683,1.1547123
1,0.78137124,0.7787606,1.7425672,0.88321865,1.3540043,1.1806589
2,0.7990017,0.758549,1.7456441,0.895403,1.3378437,1.2060423
3,0.81798196,0.73949635,1.7456759,0.90904284,1.3209481,1.2306594
4,0.838278,0.7216537,1.742589,0.92410684,1.3034836,1.2543029
5,0.8598448,0.70506465,1.7363385,0.9405541,1.2856188,1.2767643
6,0.8826252,0.6897667,1.7269102,0.95833236,1.2675226,1.2978369
7,0.9065484,0.6757915,1.7143214,0.97737724,1.2493632,1.3173198
8,0.9315288,0.6631658,1.6986212,0.9976109,1.2313052,1.3350211
9,0.95746523,0.65191185,1.6798908,1.0189413,1.2135091,1.3507624
10,0.9842399,0.64204836,1.658243,1.0412611,1.1961288,1.3643818
11,1.0117183,0.63359094,1.6338203,1.0644476,1.1793112,1.3757384
12,1.0397493,0.6265528,1.6067945,1.0883621,1.1631942,1.384715
13,1.0681653,0.6209452,1.577363,1.1128501,1.147907,1.391222
14,1.0967834,0.61677784,1.545747,1.1377418,1.1335684,1.3951991
15,1.1254072,0.6140592,1.5121876,1.162853,1.1202867,1.3966177
16,1.1538285,0.61279696,1.4769425,1.1879863,1.1081598,1.3954818
17,1.18183,0.6129977,1.4402817,1.2129331,1.0972742,1.391829
18,1.2091886,0.6146675,1.4024836,1.2374754,1.0877062,1.3857291
19,1.2356782,0.6178111,1.3638303,1.261389,1.079521,1.3772833
20,1.2610745,0.62243235,1.324604,1.2844455,1.0727733,1.3666226
21,1.2851583,0.6285334,1.2850823,1.3064165,1.0675083,1.3539041
22,1.3077189,0.63611436,1.2455345,1.3270758,1.063761,1.3393084
23,1.3285595,0.6451728,1.2062182,1.346204,1.0615569,1.3230351
24,1.3474994,0.65570277,1.1673766,1.3635912,1.060913,1.3052988
25,1.3643782,0.66769445,1.1292351,1.3790401,1.061837,1.2863252
26,1.3790581,0.681133,1.0920004,1.3923701,1.0643288,1.2663456
27,1.3914264,0.6959976,1.0558586,1.4034193,1.06838,1.2455939
28,1.4013971,0.71226084,1.0209744,1.4120474,1.0739744,1.2243017
29,1.4089118,0.7298876,0.9874913,1.4181379,1.0810878,1.2026951
30,1.4139398,0.74883413,0.9555313,1.4215995,1.0896888,1.1809918
31,1.4164783,0.7690474,0.92519623,1.4223676,1.0997382,1.159398
32,1.4165511,0.79046416,0.8965684,1.4204048,1.1111894,1.1381068
33,1.4142072,0.8130106,0.8697124,1.4157019,1.1239882,1.1172969
34,1.4095196,0.8366016,0.84467655,1.4082764,1.1380726,1.0971315
35,1.4025819,0.86114097,0.82149464,1.3981737,1.1533737,1.0777575
36,1.3935076,0.88652086,0.80018795,1.3854642,1.1698145,1.0593064
37,1.3824261,0.9126225,0.780767,1.3702433,1.1873103,1.0418938
38,1.369481,0.9393165,0.7632337,1.3526291,1.2057695,1.0256208
39,1.3548268,0.96646357,0.7475826,1.3327603,1.2250924,1.0105746
40,1.338627,0.9939155,0.7338029,1.3107942,1.2451724,0.99682945
41,1.3210511,1.0215167,0.7218799,1.286904,1.2658957,0.9844481
42,1.3022729,1.0491052,0.7117961,1.2612762,1.2871419,0.97348285
43,1.2824674,1.0765151,0.7035326,1.234108,1.3087841,0.963977
44,1.2618095,1.1035774,0.69706994,1.2056042,1.3306895,0.9559658
45,1.2404724,1.1301231,0.6923889,1.1759744,1.3527198,0.94947773
46,1.2186254,1.1559845,0.689471,1.1454307,1.3747318,0.9445354
47,1.1964331,1.1809974,0.6882991,1.1141845,1.3965783,0.94115645
48,1.1740538,1.205003,0.6888574,1.0824443,1.4181085,0.9393547
49,1.1516391,1.2278506,0.69113165,1.0504131,1.4391689,0.93914026
50,1.1293329,1.2493984,0.6951091,1.018287,1.4596044,0.9405204
51,1.1072708,1.2695154,0.70077825,0.9862521,1.4792588,0.94349974
52,1.0855798,1.2880837,0.7081282,0.9544846,1.4979758,0.9480808
53,1.0643783,1.3049984,0.7171486,0.92314816,1.5156004,0.9542635
54,1.0437758,1.3201697,0.72782856,0.89239365,1.5319797,0.9620458
55,1.0238734,1.3335226,0.74015623,0.86235857,1.5469637,0.9714231
56,1.0047637,1.3449986,0.75411755,0.8331665,1.5604068,0.98238784
57,0.9865312,1.3545547,0.76969576,0.80492693,1.5721694,0.99492943
58,0.9692528,1.3621644,0.78686976,0.7777358,1.5821183,1.0090334
59,0.9529986,1.367817,0.80561346,0.7516759,1.5901284,1.0246811
60,0.93783176,1.3715174,0.82589424,0.726817,1.5960847,1.0418483
61,0.9238099,1.3732858,0.84767205,0.7032173,1.5998827,1.0605048
62,0.9109852,1.3731563,0.8708979,0.680924,1.6014303,1.0806135
63,0.8994052,1.3711774,0.8955127,0.65997416,1.6006494,1.1021293
64,0.88911355,1.3674103,0.92144644,0.6403962,1.597477,1.1249981
65,0.88015026,1.361928,0.94861656,0.6222106,1.5918667,1.1491557
66,0.8725527,1.3548148,0.9769277,0.6054314,1.5837902,1.1745269
67,0.86635566,1.3461651,1.0062704,0.59006685,1.5732381,1.2010245
