t,z0,z1,z2,z3,z4,z5
0,-0.26772866,-0.22305223,0.551898,-0.13637911,0.31427652,0.14385122
1,-0.24670486,-0.25005153,0.5553594,-0.124182515,0.30306634,0.16607267
2,-0.22439222,-0.27634794,0.5571236,-0.110481314,0.29105917,0.18734416
3,-0.20091501,-0.3017859,0.55714184,-0.095363066,0.2783498,0.20755012
4,-0.17640552,-0.32620993,0.55537194,-0.07892757,0.26504043,0.22657998
5,-0.15100336,-0.34946576,0.55177855,-0.061286114,0.25124013,0.24432896
6,-0.12485461,-0.37140185,0.5463338,-0.042560615,0.23706432,0.26069894
7,-0.098110855,-0.39187065,0.5390173,-0.022882575,0.22263396,0.2755992
8,-0.07092815,-0.41073024,0.52981687,-0.0023919514,0.2080748,0.28894714
9,-0.043465886,-0.42784593,0.5187288,0.018764101,0.19351625,0.30066916
10,-0.015885623,-0.44309166,0.5057586,0.040432565,0.17909037,0.31070146
11,0.011650209,-0.45635173,0.49092105,0.062455986,0.16493048,0.31899056
12,0.038979635,-0.46752217,0.47424123,0.08467392,0.15116985,0.32549435
13,0.06594247,-0.4765124,0.45575452,0.1069244,0.13794029,0.33018246
14,0.09238173,-0.4832464,0.43550733,0.12904544,0.1253705,0.33303708
15,0.11814495,-0.4876639,0.41355738,0.15087646,0.11358465,0.33405334
16,0.14308555,-0.48972163,0.3899741,0.1722597,0.10270074,0.33323976
17,0.16706412,-0.48939404,0.36483872,0.19304146,0.092829116,0.3306187
18,0.1899495,-0.48667386,0.33824462,0.21307339,0.08407104,0.32622638
19,0.21162,-0.48157254,0.31029716,0.23221351,0.076517336,0.32011297
20,0.23196422,-0.47412032,0.2811136,0.25032717,0.07024724,0.31234246
21,0.25088185,-0.4643661,0.25082278,0.2672879,0.065327324,0.3029924
22,0.26828435,-0.4523769,0.21956478,0.28297794,0.06181076,0.2921534
23,0.28409526,-0.43823713,0.1874901,0.29728886,0.05973668,0.27992842
24,0.2982506,-0.42204767,0.154759,0.31012177,0.059129827,0.26643205
25,0.31069878,-0.40392458,0.12154052,0.32138768,0.060000453,0.25178945
26,0.32140073,-0.38399774,0.08801127,0.3310074,0.062344417,0.23613532
27,0.33032945,-0.36240909,0.054354288,0.33891162,0.066143535,0.21961248
28,0.3374697,-0.3393111,0.02075753,0.34504074,0.07136613,0.20237066
29,0.34281763,-0.31486472,-0.012587571,0.3493447,0.07796778,0.184565
30,0.34638003,-0.28923774,-0.04548772,0.35178265,0.08589216,0.16635457
31,0.34817374,-0.26260266,-0.07774942,0.35232276,0.095072165,0.14790083
32,0.34822512,-0.23513491,-0.10918067,0.35094193,0.10543095,0.12936616
33,0.34656915,-0.20701112,-0.13959266,0.3476254,0.116883166,0.110912316
34,0.3432489,-0.17840725,-0.16880152,0.3423666,0.1293362,0.092699
35,0.3383148,-0.14949706,-0.19662988,0.3351669,0.14269136,0.07488249
36,0.33182406,-0.120450616,-0.22290868,0.32603526,0.15684518,0.05761431
37,0.32384005,-0.09143292,-0.24747844,0.31498834,0.17169058,0.041040026
38,0.31443182,-0.06260276,-0.27019095,0.3020502,0.18711796,0.025298141
39,0.3036736,-0.034111667,-0.29091042,0.28725222,0.20301627,0.0105191
40,0.29164445,-0.0061030625,-0.30951476,0.27063322,0.21927398,-0.0031755914
41,0.27842778,0.02128845,-0.3258965,0.25223935,0.23577997,-0.015674135
42,0.26411113,0.04793763,-0.3399638,0.23212412,0.25242424,-0.026875079
43,0.24878584,0.073729,-0.35164106,0.21034847,0.2690986,-0.036687844
44,0.23254682,0.0985571,-0.3608695,0.18698081,0.28569728,-0.045033127
45,0.21549228,0.12232661,-0.36760747,0.16209708,0.30211723,-0.05184321
46,0.19772352,0.14495237,-0.37183058,0.13578072,0.31825867,-0.057062153
47,0.17934468,0.16635929,-0.37353176,0.10812275,0.33402514,-0.06064586
48,0.16046254,0.1864821,-0.372721,0.079221696,0.3493239,-0.06256211
49,0.14118628,0.20526518,-0.36942494,0.049183577,0.3640658,-0.06279043
50,0.12162715,0.22266209,-0.3636864,0.018121744,0.37816545,-0.06132195
51,0.10189826,0.23863529,-0.3555638,-0.013843228,0.39154112,-0.05815916
52,0.082114235,0.25315562,-0.34513012,-0.046583764,0.40411475,-0.053315584
53,0.062390864,0.26620185,-0.3324722,-0.07996556,0.41581172,-0.046815433
54,0.042844765,0.27776024,-0.31768975,-0.113847904,0.42656082,-0.038693197
55,0.023592953,0.28782403,-0.30089402,-0.14808407,0.43629408,-0.0289932
56,0.004752418,0.29639295,-0.28220698,-0.18252179,0.4449466,-0.017769113
57,-0.0135603305,0.30347276,-0.26175997,-0.21700378,0.45245644,-0.005083452
58,-0.03122977,0.3090749,-0.23969251,-0.25136834,0.4587646,0.008992951
59,-0.04814188,0.31321606,-0.21615122,-0.28545004,0.46381482,0.024381489
60,-0.06418472,0.31591776,-0.19128852,-0.31908053,0.46755362,0.04099633
61,-0.07924898,0.31720623,-0.16526142,-0.35208926,0.46993035,0.058745
62,-0.093228646,0.317112,-0.13823053,-0.38430458,0.4708972,0.077528924
63,-0.106021605,0.31566986,-0.110358834,-0.41555455,0.47040942,0.09724404
64,-0.11753034,0.31291866,-0.08181064,-0.44566822,0.46842548,0.11778134
65,-0.12766261,0.30890134,-0.052750576,-0.4744766,0.46490738,0.1390275
66,-0.13633224,0.30366474,-0.023342608,-0.50181407,0.45982087,0.16086547
67,-0.14345974,0.29725984,0.0062508737,-0.52751946,0.45313603,0.18317498
68,-0.14897314,0.28974172,0.03586993,-0.5514377,0.44482762,0.2058333
69,-0.15280877,0.28116974,0.06535789,-0.57342094,0.43487564,0.22871566
70,-0.15491194,0.27160764,0.094562106,-0.59333,0.42326587,0.251696
71,-0.15523773,0.2611237,0.12333466,-0.6110362,0.40999052,0.2746474
72,-0.15375175,0.24979095,0.151533,-0.6264219,0.3950487,0.29744294
73,-0.15043078,0.23768732,0.17902055,-0.6393829,0.37844735,0.31995592
74,-0.14526343,0.22489576,0.20566723,-0.64982903,0.3602016,0.34206074
75,-0.13825077,0.21150431,0.23134992,-0.6576856,0.34033546,0.36363328
76,-0.1294068,0.19760625,0.2559529,-0.6628944,0.31888252,0.3845514
77,-0.118758895,0.18330002,0.27936813,-0.665415,0.2958864,0.40469566
78,-0.106348194,0.16868919,0.30149564,-0.66522497,0.27140114,0.42394948
79,-0.09222973,0.15388228,0.32224366,-0.6623209,0.24549173,0.44219986
80,-0.07647261,0.13899256,0.34152892,-0.6567187,0.21823426,0.45933756
81,-0.059159905,0.124137595,0.35927662,-0.6484534,0.18971618,0.47525775
82,-0.040388525,0.109438874,0.37542066,-0.63757974,0.16003622,0.48986012
83,-0.02026886,0.095021166,0.38990358,-0.6241713,0.12930445,0.5030494
84,0.0010756934,0.08101181,0.4026766,-0.6083201,0.09764187,0.5147354
85,0.02350938,0.06753987,0.41369972,-0.59013593,0.065180056,0.5248339
86,0.046884876,0.054735187,0.42294157,-0.5697452,0.032060612,0.5332664
87,0.07104425,0.042727247,0.43037945,-0.5472899,-0.0015655993,0.53996086
88,0.09582003,0.031643983,0.43599945,-0.52292615,-0.03553935,0.54485184
89,0.12103649,0.021610456,0.43979633,-0.4968226,-0.06969411,0.547881
90,0.14651096,0.01274741,0.4417737,-0.46915898,-0.10385726,0.5489977
91,0.17205535,0.005169787,0.44194412,-0.44012418,-0.13785143,0.54815924
92,0.1974777,-0.0010148394,0.4403292,-0.40991443,-0.17149605,0.54533166
93,0.22258386,-0.005707858,0.43695974,-0.37873155,-0.2046089,0.5404901
94,0.24717923,-0.008821214,0.43187618,-0.3467809,-0.23700786,0.5336195
95,0.27107045,-0.010278967,0.42512855,-0.3142696,-0.26851264,0.5247153
96,0.29406732,-0.0100187855,0.41677693,-0.28140464,-0.29894665,0.51378393
97,0.31598434,-0.007993323,0.40689155,-0.24839118,-0.32813886,0.50084335
98,0.33664262,-0.004171442,0.3955531,-0.21543068,-0.35592547,0.48592365
99,0.35587144,0.0014607542,0.38285282,-0.18271947,-0.38215196,0.46906757
100,0.37350968,0.0088991225,0.3688925,-0.15044712,-0.4066744,0.45033056
101,0.3894074,0.018120956,0.3537845,-0.118795164,-0.4293614,0.42978108
102,0.403427,0.029084746,0.3376516,-0.08793591,-0.45009518,0.4075006
103,0.41544428,0.041730274,0.32062662,-0.058031306,-0.46877295,0.38358328
104,0.4253494,0.055979017,0.3028518,-0.0292321,-0.48530787,0.35813567
105,0.43304753,0.0717349,0.28447816,-0.0016770755,-0.49962983,0.33127606
106,0.4384594,0.08888533,0.2656647,0.024507528,-0.5116859,0.3031336
107,0.44152164,0.107302584,0.24657702,0.04920846,-0.52144074,0.27384734
108,0.44218686,0.1268454,0.2273863,0.072325744,-0.5288764,0.24356492
109,0.44042376,0.14736083,0.20826757,0.093772866,-0.53399235,0.21244133
110,0.4362168,0.16868621,0.18939823,0.113476805,-0.5368047,0.18063736
111,0.42956614,0.19065134,0.17095618,0.13137802,-0.53734577,0.1483181
112,0.42048705,0.21308067,0.15311797,0.1474303,-0.5356632,0.1156512
113,0.40900964,0.2357955,0.13605683,0.16160053,-0.531819,0.082805395
114,0.39517814,0.2586161,0.119940735,0.17386852,-0.525888,0.049948797
115,0.37905046,0.28136382,0.10493042,0.18422659,-0.51795727,0.01724741
116,0.36069766,0.30386305,0.09117751,0.19267932,-0.50812423,-0.015136338
117,0.34020305,0.32594296,0.07882268,0.19924308,-0.49649557,-0.047044925
118,0.3176618,0.34743902,0.06799406,0.2039457,-0.48318583,-0.07832693
119,0.29318017,0.3681944,0.058805693,0.206826,-0.468316,-0.1088381
120,0.26687482,0.38806108,0.051356282,0.20793338,-0.45201218,-0.1384422
121,0.23887207,0.40690064,0.045728132,0.20732729,-0.4344044,-0.16701178
122,0.20930724,0.42458504,0.041986328,0.20507675,-0.4156252,-0.19442874
123,0.17832379,0.440997,0.0401782,0.20125991,-0.39580867,-0.22058469
124,0.1460726,0.4560302,0.040333014,0.19596338,-0.37508917,-0.2453813
125,0.11271108,0.4695892,0.04246196,0.18928178,-0.3536005,-0.26873037
126,0.07840235,0.48158962,0.046558358,0.18131703,-0.331475,-0.29055387
127,0.04331428,0.4919575,0.0525981,0.17217784,-0.30884263,-0.3107839
128,0.007618617,0.50062925,0.06054034,0.161979,-0.28583035,-0.3293624
